CCTVAIP x4300,AN2 4000x,AN2 4300x,CCVP_02 4300x,CCVP_03 4300x,CCVP_04 4300x,CCVP_05 4300x,CCVP_06 4300x,CC1960 4300x,CC1960 3700x
0.215,,,,,,,,,
0.314,,,,,,,,,
0.363,,,,,,,,,
0.478,,,,,,,,,
0.667,,,,,,,,,
0.336,,,,,,,,,
0.693,,,,,,,,,
0.288,,,,,,,,,
0.741,,,,,,,,,
0.6,,,,,,,,,
0.242,,,,,,,,,
0.498,,,,,,,,,
0.362,,,,,,,,,
0.79,,,,,,,,,
0.438,,,,,,,,,
0.295,,,,,,,,,
0.253,,,,,,,,,
0.34,,,,,,,,,
0.275,,,,,,,,,
0.461,,,,,,,,,
0.204,,,,,,,,,
1.068,,,,,,,,,
0.265,,,,,,,,,
0.263,,,,,,,,,
0.937,,,,,,,,,
0.298,,,,,,,,,
0.23,,,,,,,,,
0.515,,,,,,,,,
0.628,,,,,,,,,
0.246,,,,,,,,,
0.394,,,,,,,,,
0.136,,,,,,,,,
0.744,,,,,,,,,
0.136,,,,,,,,,
0.311,,,,,,,,,
0.71,,,,,,,,,
0.83,,,,,,,,,
0.406,,,,,,,,,
0.83,,,,,,,,,
0.298,,,,,,,,,
0.169,,,,,,,,,
0.552,,,,,,,,,
0.246,,,,,,,,,
0.674,,,,,,,,,
1.259,,,,,,,,,
0.751,,,,,,,,,
0.463,,,,,,,,,
0.628,,,,,,,,,
0.557,,,,,,,,,
0.687,,,,,,,,,
0.883,,,,,,,,,
0.434,,,,,,,,,
1.021,,,,,,,,,
0.43,,,,,,,,,
0.211,,,,,,,,,
0.311,,,,,,,,,
0.515,,,,,,,,,
0.403,,,,,,,,,
1.705,,,,,,,,,
0.203,,,,,,,,,
0.275,,,,,,,,,
0.162,,,,,,,,,
0.625,,,,,,,,,
0.147,,,,,,,,,
0.174,,,,,,,,,
0.38,,,,,,,,,
0.71,,,,,,,,,
0.483,,,,,,,,,
0.581,,,,,,,,,
0.293,,,,,,,,,
0.461,,,,,,,,,
0.88,,,,,,,,,
0.107,,,,,,,,,
0.334,,,,,,,,,
0.518,,,,,,,,,
0.268,,,,,,,,,
0.737,,,,,,,,,
1.074,,,,,,,,,
0.555,,,,,,,,,
0.654,,,,,,,,,
0.377,,,,,,,,,
0.242,,,,,,,,,
0.358,,,,,,,,,
0.393,,,,,,,,,
0.279,,,,,,,,,
0.557,,,,,,,,,
0.312,,,,,,,,,
0.385,,,,,,,,,
0.326,,,,,,,,,
0.272,,,,,,,,,
0.541,,,,,,,,,
0.242,,,,,,,,,
0.683,,,,,,,,,
0.779,,,,,,,,,
0.575,,,,,,,,,
0.59,,,,,,,,,
0.321,,,,,,,,,
0.734,,,,,,,,,
0.28,,,,,,,,,
0.22,,,,,,,,,
0.54,,,,,,,,,
0.816,,,,,,,,,
0.403,,,,,,,,,
1.058,,,,,,,,,
0.529,,,,,,,,,
0.338,,,,,,,,,
0.438,,,,,,,,,
